id,query,category,ablation,mode,route,retrieved_node_count,retrieved_chunk_count,retrieved_edge_count,faithfulness,answer_relevance,context_precision,context_recall,graph_path_recall,evidence_chain_completeness,citation_accuracy,conflict_awareness,latency_ms,cost_usd_estimate,required_node_recall,required_edge_recall,path_validity,provenance_coverage,merge_quality,staleness_detection
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.741,1.0,0.0,0.2,0.143,1.0,0.8,2.204,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,hybrid,hybrid,hybrid,7,3,3,1.0,0.741,1.0,0.0,0.6,0.714,1.0,0.8,63.342,0.0,0.0,0.333,1.0,1.0,1.0,1.0
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,local,local,local,10,3,5,1.0,0.741,1.0,0.5,1.0,1.0,1.0,0.8,142.319,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.8,2.501,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,DRIFT-style,drift,drift,9,3,5,1.0,0.494,1.0,0.0,1.0,0.714,1.0,0.8,286.578,0.0,0.0,0.333,1.0,1.0,1.0,1.0
ENT-01,What evidence does SignalGraph have for GraphRAG paper?,entity-specific,best-route,hybrid,hybrid,7,3,3,1.0,0.741,1.0,0.0,0.6,0.714,1.0,0.8,62.035,0.0,0.0,0.333,1.0,1.0,1.0,1.0
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.741,1.0,0.0,0.2,0.143,1.0,1.0,2.124,0.0,0.0,0.0,1.0,1.0,1.0,0.8
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,hybrid,hybrid,hybrid,6,2,2,1.0,0.741,1.0,0.5,0.8,0.714,1.0,1.0,49.91,0.0,0.5,0.0,1.0,1.0,1.0,0.8
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,local,local,local,8,2,5,1.0,0.741,1.0,0.5,1.0,1.0,1.0,1.0,115.023,0.0,0.5,0.667,1.0,1.0,1.0,0.8
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.3,2.438,0.0,0.0,0.0,1.0,1.0,1.0,0.8
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,DRIFT-style,drift,drift,9,3,5,1.0,0.494,1.0,0.0,1.0,0.714,1.0,1.0,280.853,0.0,0.0,0.333,1.0,1.0,1.0,1.0
ENT-02,What evidence does SignalGraph have for Microsoft GraphRAG repo?,entity-specific,best-route,hybrid,hybrid,6,2,2,1.0,0.741,1.0,0.5,0.8,0.714,1.0,1.0,49.224,0.0,0.5,0.0,1.0,1.0,1.0,0.8
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.494,1.0,0.0,0.2,0.143,1.0,0.8,2.14,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,hybrid,hybrid,hybrid,8,3,3,1.0,0.494,1.0,0.5,0.8,0.714,1.0,0.8,61.069,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,local,local,local,8,3,3,1.0,0.494,1.0,0.5,0.6,1.0,1.0,0.8,162.814,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.8,3.541,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,DRIFT-style,drift,drift,9,3,5,1.0,0.247,1.0,0.5,1.0,0.714,1.0,0.8,294.145,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-03,What evidence does SignalGraph have for MemGPT paper?,entity-specific,best-route,hybrid,hybrid,8,3,3,1.0,0.494,1.0,0.5,0.8,0.714,1.0,0.8,60.478,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.494,1.0,0.0,0.2,0.143,1.0,1.0,2.033,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,hybrid,hybrid,hybrid,8,2,5,1.0,0.494,1.0,0.5,0.8,1.0,1.0,1.0,40.931,0.0,0.5,0.667,1.0,1.0,1.0,0.8
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,local,local,local,11,2,6,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,90.577,0.0,0.5,0.333,1.0,1.0,1.0,0.8
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.3,2.443,0.0,0.0,0.0,1.0,1.0,1.0,0.8
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,DRIFT-style,drift,drift,10,3,5,1.0,0.247,1.0,1.0,0.8,0.714,1.0,1.0,286.484,0.0,1.0,0.333,1.0,1.0,1.0,1.0
ENT-04,What evidence does SignalGraph have for cpacker MemGPT repo?,entity-specific,best-route,hybrid,hybrid,8,2,5,1.0,0.494,1.0,0.5,0.8,1.0,1.0,1.0,40.68,0.0,0.5,0.667,1.0,1.0,1.0,0.8
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.247,1.0,0.0,0.2,0.143,1.0,0.8,2.149,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,hybrid,hybrid,hybrid,8,2,5,1.0,0.494,1.0,0.5,0.8,1.0,1.0,0.8,56.705,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,local,local,local,11,1,6,1.0,0.247,1.0,0.5,0.6,1.0,1.0,0.8,244.773,0.0,0.5,0.667,1.0,1.0,1.0,1.0
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,global,global,global,4,0,1,1.0,0.247,0.25,0.0,0.0,0.429,1.0,0.8,2.394,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,DRIFT-style,drift,drift,10,2,5,1.0,0.494,1.0,0.0,0.8,1.0,1.0,0.8,281.543,0.0,0.0,0.333,1.0,1.0,1.0,1.0
ENT-05,What evidence does SignalGraph have for RAG evaluation paper?,entity-specific,best-route,hybrid,hybrid,8,2,5,1.0,0.494,1.0,0.5,0.8,1.0,1.0,0.8,56.135,0.0,0.5,0.333,1.0,1.0,1.0,1.0
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,vector-only,vector,vector,4,4,0,1.0,0.741,1.0,0.0,0.2,0.143,1.0,1.0,2.318,0.0,0.0,0.0,1.0,1.0,1.0,0.8
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,hybrid,hybrid,hybrid,9,4,5,1.0,0.494,1.0,0.0,0.6,1.0,1.0,1.0,58.041,0.0,0.0,0.333,1.0,1.0,1.0,0.8
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,local,local,local,10,3,5,1.0,0.494,1.0,0.0,0.6,1.0,1.0,1.0,137.201,0.0,0.0,0.333,1.0,1.0,1.0,0.8
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,global,global,global,4,0,1,1.0,0.0,0.25,0.0,0.0,0.429,1.0,0.3,2.57,0.0,0.0,0.0,1.0,1.0,1.0,0.8
ENT-06,What evidence does SignalGraph have for SignalGraph agent-memory repo?,entity-specific,DRIFT-style,drift,drift,10,3,5,1.0,0.247,1.0,0.5,1.0,0.714,1.0,1.0,295.83,0.0,0.5,0.333,1.0,1.0,1.0,1.0
