id,category,ablation,route,failure_reason,required_node_recall,required_edge_recall,faithfulness,staleness_detection,retrieved_node_ids
ENT-02,entity-specific,vector-only,vector,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['chunk:fc6e5b8d6191', 'chunk:297194fc05a0', 'chunk:83ff5028526f', 'chunk:3b5f99b30064']"
ENT-02,entity-specific,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:faithfulness', 'benchmark:benchmark', 'benchmark:answer-relevance']"
ENT-04,entity-specific,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:faithfulness', 'benchmark:benchmark', 'benchmark:answer-relevance']"
ENT-06,entity-specific,vector-only,vector,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['chunk:251a3df8a74c', 'chunk:fc6e5b8d6191', 'chunk:3528d4db9e28', 'chunk:3b5f99b30064']"
ENT-06,entity-specific,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:faithfulness', 'benchmark:benchmark', 'benchmark:answer-relevance']"
DEC-01,decision-memo,vector-only,vector,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['chunk:83ff5028526f', 'chunk:297194fc05a0', 'chunk:3528d4db9e28', 'chunk:fc6e5b8d6191']"
DEC-01,decision-memo,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:faithfulness', 'benchmark:benchmark', 'benchmark:answer-relevance']"
DEC-02,decision-memo,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:context-recall', 'benchmark:benchmark', 'benchmark:faithfulness']"
DEC-03,decision-memo,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:faithfulness', 'benchmark:benchmark', 'benchmark:answer-relevance']"
DEC-04,decision-memo,vector-only,vector,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['chunk:297194fc05a0', 'chunk:87358b556906', 'chunk:83ff5028526f', 'chunk:bee20dd0f889']"
DEC-06,decision-memo,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:benchmark', 'benchmark:faithfulness', 'benchmark:answer-relevance']"
DEC-08,decision-memo,vector-only,vector,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['chunk:83ff5028526f', 'chunk:fc6e5b8d6191', 'claim:5b33c60ba8dd', 'claim:b31740484e82']"
DEC-09,decision-memo,vector-only,vector,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['chunk:fc6e5b8d6191', 'chunk:83ff5028526f', 'chunk:3528d4db9e28', 'chunk:297194fc05a0']"
DEC-09,decision-memo,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:faithfulness', 'benchmark:benchmark', 'benchmark:answer-relevance']"
DEC-10,decision-memo,vector-only,vector,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['chunk:3b5f99b30064', 'claim:7d416ed3e986', 'chunk:87358b556906', 'chunk:83ff5028526f']"
DEC-10,decision-memo,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:faithfulness', 'benchmark:benchmark', 'benchmark:answer-relevance']"
ADV-01,adversarial/uncertainty,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:faithfulness', 'benchmark:benchmark', 'benchmark:answer-relevance']"
ADV-02,adversarial/uncertainty,vector-only,vector,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['chunk:297194fc05a0', 'chunk:3b5f99b30064', 'chunk:bee20dd0f889', 'chunk:3528d4db9e28']"
ADV-03,adversarial/uncertainty,global,global,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['community:agent-architecture', 'benchmark:faithfulness', 'benchmark:benchmark', 'benchmark:answer-relevance']"
ADV-04,adversarial/uncertainty,vector-only,vector,Did not retrieve every required evidence node.,0.0,0.0,1.0,0.8,"['chunk:87358b556906', 'chunk:fc6e5b8d6191', 'claim:34b0a822959c', 'claim:7be97478bb3f']"
